,지역,주소,인근 지하철,고시원명,빈방,총 방갯수,월세,식사 제공,주차 제공,남녀 구분,층 분리
857,대구,대구 남구 중앙대로32길 28,대구1호선 교대역,대덕고시원,1개,['40개'],월세  20~25,Y,4,공용,Y
858,대구,대구 남구 중앙대로32길 33-2,8호선 암사역,그린홈원룸텔,1개,['32개'],월세  28~35,Y,2,공용,N
859,서울,서울 강동구 올림픽로 763,대구2호선 성서산업단지역,성림고시원,1개,['50개'],월세  32~43,Y,N,공용,Y
860,대구,대구 달서구 달구벌대로251길 18,5호선 길동역,리치하우스원룸텔,빈방없음,['29개'],월세  28~55,Y,N,공용,N
861,서울,서울 강동구 양재대로114길 47,대구2호선 계명대역,스토리하우스 성서계명대점,1개,['40개'],월세  25~40,Y,N,공용,N
862,대구,대구 달서구 계대동문로 23,대구1호선 반월당역,스토리하우스 동성로본점,1개,['40개'],월세  25~40,Y,N,공용,N
863,대구,대구 중구 종로 19,5호선 굽은다리역,프라임하우스,3개,['35개'],월세  45~60,Y,6,공용,N
864,서울,서울 강동구 양재대로 1549,대구1호선 중앙로역,파크빌고시원,1개,['40개'],월세  18~28,Y,N,공용,Y
865,대구,대구 중구 공평로 57-1,N,리더고시텔,1개,['38개'],월세  20~25,Y,5,공용,Y
866,대구,대구 북구 대학로 20-7,5호선 길동역,에덴고시텔 ,빈방없음,['30개'],월세  18~26,Y,5,공용,Y
867,서울,서울 강동구 양재대로112길 16,대구1호선 반월당역,지니고시텔,1개,['25개'],월세  33~35,Y,N,공용,Y
868,대구,대구 중구 명륜로23길 85,7호선 공릉역,리치하우스 공릉역점,6개,['29개'],월세  27~43,Y,N,공용,Y
869,서울,서울 노원구 공릉로 195,대구1호선 대구역,포미르,빈방없음,['24개'],월세  35~35,Y,7,공용,N
870,대구,대구 북구 칠성남로31길 12-5,7호선 공릉역,우림고시원,빈방없음,['43개'],월세  14~21,Y,10,공용,N
871,서울,서울 노원구 공릉로51길 14-2,N,코쿤하우스 ,1개,['60개'],월세  25~33,Y,5,공용,N
872,대구,대구 북구 대현로9길 25,5호선 둔촌동역,코코레지던스 둔촌역점 ,빈방없음,['40개'],월세  30~45,Y,6,공용,N
