연번,상호,업종,법정동 주소
377,현대고시원,고시원업,서울특별시 광진구 자양동 227-263
378,쉐르빌고시텔,고시원업,서울특별시 광진구 군자동 346-22
379,구의게스트원룸텔,고시원업,서울특별시 광진구 구의동 246-3
380,삼보미진고시텔,고시원업,서울특별시 광진구 구의동 213-5
381,레이크하우스,고시원업,서울특별시 광진구 자양동 225-51
382,해피엔 하우스,고시원업,서울특별시 광진구 자양동 226-38
383,한성고시원,고시원업,서울특별시 광진구 중곡동 94-20
384,정도고시원,고시원업,서울특별시 광진구 화양동 112-16
385,용마고시원,고시원업,서울특별시 광진구 자양동 851-1
386,아름빌하우스,고시원업,서울특별시 광진구 화양동 119-5
387,청전하우스,고시원업,서울특별시 광진구 화양동 234
388,라온하우스,고시원업,서울특별시 광진구 화양동 302-11
389,힐스하우스,고시원업,서울특별시 광진구 화양동 2-49
390,그루레지던스(건대점),고시원업,서울특별시 광진구 자양동 219-12
391,대원고시원,고시원업,서울특별시 광진구 중곡동 193-35
392,정하이빌원룸텔,고시원업,서울특별시 광진구 군자동 467-19
393,노아빌딩,고시원업,서울특별시 광진구 군자동 356-5
394,입지고시원,고시원업,서울특별시 광진구 구의동 250-19
395,로뎀고시텔,고시원업,서울특별시 광진구 자양동 10-29
396,드림빌,고시원업,서울특별시 광진구 자양동 13-47
397,쉐르빌고시원,고시원업,서울특별시 광진구 화양동 490-1
398,그루레지던스,고시원업,서울특별시 광진구 구의동 244-19
399,토마토고시텔,고시원업,서울특별시 광진구 자양동 251-76
400,멀티하우스,고시원업,서울특별시 광진구 구의동 246-61
401,휴하우스,고시원업,서울특별시 광진구 화양동 2-6
402,블루힐 원룸텔,고시원업,서울특별시 광진구 화양동 111-47
403,심플하우스,고시원업,서울특별시 광진구 중곡동 115-1
404,하우스드래곤,고시원업,서울특별시 광진구 화양동 1-22
405,에프하우스,고시원업,서울특별시 광진구 군자동 355-12
406,싱글하우스,고시원업,서울특별시 광진구 중곡동 132-21
407,신세계고시원,고시원업,서울특별시 광진구 자양동 779-6
408,W하우스,고시원업,서울특별시 광진구 자양동 17-5
409,NY고시텔,고시원업,서울특별시 광진구 화양동 3-28
410,스터디고시텔,고시원업,서울특별시 광진구 구의동 206-12
411,그랑빌고시텔,고시원업,서울특별시 광진구 군자동 466-18
412,이삭고시원,고시원업,서울특별시 광진구 화양동 111-161
413,NY고시텔,고시원업,서울특별시 광진구 화양동 3-28
414,홍효경고시원(벨라타워),고시원업,서울특별시 광진구 중곡동 648-5
