,고시원 이름,평수,총 방 갯수,총 욕실 갯수,주차 공간,보증금,월 임대료,관리비,매물 총액,인근 지하철,인근 대학교,보증금 전처리,매물 총액 전처리,방 갯수 전처리,월 임대료 전처리,관리비 전처리
2241,서울 동작구 00동,270 ,  개,  개,00 대,4000 만원, 490 , 사용량에 따라 부과 ,2억4000,-선택사항- ,-선택사항-     ,4000,24000,0,490,0
2242,서울 관악구 00동,500 ,  개,  개,00 대,3500 만원, 350 , 없음 ,1억7000,-선택사항- ,-선택사항-     ,3500,17000,0,350,0
2243,서울 강동구 길동,332.58 , 42 개, 8 개,1 대,3천 만원, 377 , 없음 ,8천,-선택사항- ,-선택사항-     ,3000,8000,42,377,0
2244,서울 동작구 00동,236 , 30 개,  개,00 대,5000 만원, 300 , 00 ,35000,-선택사항- ,-선택사항-     ,5000,35000,30,300,0
2245,서울 영등포구 00동,400 ,  개,  개,00 대,7000 만원, 360 , 사용량에 따라 부과 ,1억6000,-선택사항- ,-선택사항-     ,7000,16000,0,360,0
2246,서울 동작구 노량진동,122.5 , 39 개, 39 개,X 대,5천 만원, 460 , 없음 ,2억7천,-선택사항- ,-선택사항-     ,5000,27000,39,460,0
2247,서울 중구 00동,500 , 50 개,  개,00 대,5000 만원, 460 , 별도 ,3억7000,-선택사항- ,-선택사항-     ,5000,37000,50,460,0
2248,서울 동작구 00동,217.32 , 33 개, 4 개,00 대,3000 만원, 200 , 없음 ,6000,-선택사항- ,-선택사항-     ,3000,6000,33,200,0
2249,서울 성북구 00동,223.65 , 30 개,  개,00 대,4000 만원, 220 , 30만원 ,18000,-선택사항- ,-선택사항-     ,4000,18000,30,220,30
2250,서울 송파구 00동,286.8 ,  개,  개,00 대,9000 만원, 470 , 00 ,17000,-선택사항- ,-선택사항-     ,9000,17000,0,470,0
2251,서울 강남구 도곡동,203.85 , 19 개, 19 개,00 대,5000 만원, 325 , 00 ,2억,-선택사항- ,-선택사항-     ,5000,20000,19,325,0
2252,서울 용산구 00동,663.72 , 상담 개,  개,00 대,5000 만원, 750 , 00 ,11000,-선택사항- ,-선택사항-     ,5000,11000,0,750,0
2253,서울 도봉구 00동,330 , 17 개, 17 개,00 대,3000 만원, 240 , 00 ,1억6000,-선택사항- ,-선택사항-     ,3000,16000,17,240,0
2254,서울 강남구 대치동,505.95 , 34 개, 4 개,00 대,4000 만원, 293 , 00 ,2억9천,-선택사항- ,-선택사항-     ,4000,29000,34,293,0
2255,서울 노원구 00동,270 , 32 개, 0 개,00 대,4500 만원, 240 , 00 ,,-선택사항- ,-선택사항-     ,4500,0,32,240,0
2256,서울 강남구 00동,100 , 33 개,  개,00 대,7000 만원, 600 , 00 ,24000,-선택사항- ,-선택사항-     ,7000,24000,33,600,0
2257,서울 서대문구 00동,120 , 42 개,  개,00 대,5000 만원, 450 , 00 ,28000,-선택사항- ,-선택사항-     ,5000,28000,42,450,0
2258,서울 동작구 00동,381 , 54 개, 25 개,00 대,9000 만원, 515 , 00 ,35000,-선택사항- ,-선택사항-     ,9000,35000,54,515,0
2259,서울 서대문구 00동,374.34 ,  개,  개,00 대, 만원, 220 , 00 ,합,-선택사항- ,-선택사항-     ,0,0,0,220,0
2260,서울 강동구 00동,390 , 35 개, 35 개,1 대,5000 만원, 580 , 00 ,25000,-선택사항- ,-선택사항-     ,5000,25000,35,580,0
2261,서울 중구 00동,500 , 45 개, 44 개,1 대,4000 만원, 450 , 20 ,35000,-선택사항- ,-선택사항-     ,4000,35000,45,450,20
2262,서울 영등포구 00동,264.52 , 34 개, 30 개,00 대,7천 만원, 450 , 사용량에따라 ,1억6천,-선택사항- ,-선택사항-     ,7000,16000,34,450,0
2263,서울 서초구 서초동,425.84 , 43 개, 43 개,불가 대,9000 만원, 820 , 없음 ,1억8천,-선택사항- ,-선택사항-     ,9000,18000,43,820,0
2264,서울 동대문구 이문동,210.31 , 31 개, 2 개,불가 대,3000 만원, 262 , 없음 ,1억,-선택사항- ,-선택사항-     ,3000,10000,31,262,0
2265,서울 송파구 백제고분로,312.73 , 30 개, 30 개,불가 대,5000 만원, 400 , 없음 ,3억2천,-선택사항- ,-선택사항-     ,5000,32000,30,400,0
2266,서울 관악구 남부순환로,488 , 44 개, 44 개,1 대,7000 만원, 660 , 없음 ,3억2천,-선택사항- ,-선택사항-     ,7000,32000,44,660,0
2267,서울 종로구 삼일대로,407 , 43 개, 43 개,불가 대,5000 만원, 680 , 없음` ,3억4천,-선택사항- ,-선택사항-     ,5000,34000,43,680,0
2268,서울 강동구 00동,600 ,  개,  개,00 대,5000 만원, 330 , 사용량에 따라 부과 ,1억3000,-선택사항- ,-선택사항-     ,5000,13000,0,330,0
